IDENTIFIER	log2FoldChange
bradi1g69330.1|pacid:21823258	-2.10163190820231
bradi1g69530.1|pacid:21818124	-2.44311422082911
bradi1g69980.2|pacid:21822018	-2.34833957449666
bradi1g69980.1|pacid:21822017	-2.34833957449666
bradi1g70680.1|pacid:21815363	-2.74770808364755
bradi1g70700.1|pacid:21822837	-3.84152725439093
bradi1g70970.1|pacid:21820684	-2.44684166629837
bradi1g71230.1|pacid:21822542	-2.41032060762723
bradi1g71430.1|pacid:21819787	-2.47888940949556
bradi1g71740.1|pacid:21816481	-2.70747206914106
bradi1g71920.1|pacid:21821834	-2.51285941977769
bradi1g71930.1|pacid:21817952	-2.34221408916131
bradi1g71950.1|pacid:21822052	-2.47014346088395
bradi1g71970.1|pacid:21818570	-2.37432505248141
bradi1g71980.1|pacid:21815115	-2.47702492579842
bradi1g72290.1|pacid:21820814	2.13785678152207
bradi1g72457.1|pacid:21816589	-2.02616780868033
bradi1g72610.1|pacid:21819669	-2.54056828129771
bradi1g73010.1|pacid:21816764	-2.41845574729669
bradi1g73010.2|pacid:21816765	-2.41845574729669
bradi1g73720.1|pacid:21823361	2.54154905238871
